release_url	language	code	original_text
http://id.who.int/icd/release/11/2026-01/mms	en	6A20	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal).
http://id.who.int/icd/release/11/2026-01/mms	en	6A20.0	Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met.
http://id.who.int/icd/release/11/2026-01/mms	en	6A20.1	Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment.
http://id.who.int/icd/release/11/2026-01/mms	en	6A20.2	Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A20	La schizophrénie se caractérise par des perturbations de multiples modalités mentales, notamment la réflexion (p. ex. idées délirantes, désorganisation dans la forme de la pensée), la perception (p. ex. hallucinations), l’expérience de soi (p. ex. l’impression que ses propres sentiments, impulsions, pensées ou comportements sont sous le contrôle d’une force externe), la cognition (p. ex. trouble de l’attention, de la mémoire verbale et de la cognition sociale), la volition (p. ex. perte de motivation), l’affect (p. ex. expression émotionnelle émoussée) et le comportement (p. ex. comportement qui semble bizarre ou inutile, réactions émotionnelles imprévisibles ou inappropriées qui perturbent l’organisation du comportement). Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les idées délirantes persistantes, hallucinations persistantes, troubles de la pensée et expériences d’influence, de passivité ou de contrôle sont considérés comme des symptômes fondamentaux. Les symptômes doivent avoir persisté pendant au moins un mois pour qu’un diagnostic de schizophrénie soit posé. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris à un sevrage (p. ex. sevrage alcoolique).
http://id.who.int/icd/release/11/2026-01/mms	fr	6A20.0	La schizophrénie, premier épisode doit être utilisée pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic de la schizophrénie (y compris la durée) mais qui n’ont jamais présenté d’épisode précédent durant lequel les critères de diagnostic de la schizophrénie étaient satisfaits.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A20.1	Schizophrénie, épisodes multiples doit être utilisé pour identifier les personnes présentant des symptômes qui répondent aux critères diagnostiques de la schizophrénie et qui ont également déjà connu des épisodes au cours desquels les critères diagnostiques ont été remplis, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent persister pendant les périodes de rémission, et des rémissions peuvent se produire en réponse à des médicaments ou à un autre traitement.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A20.2	Des symptômes satisfaisant tous les critères de définition de la schizophrénie ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.
http://id.who.int/icd/release/11/2026-01/mms	cs	6A20	Schizofrenie je charakterizována poruchami četných duševních modalit, včetně myšlení (např. bludy, dezorganizace formálního myšlení), vnímání (např. halucinace), prožitků sebe sama (např. prožitky, že jedincovy pocity, impulzy, myšlenky nebo chování jsou ovládány vnější silou), kognice (např. porucha pozornosti, verbální paměti a sociální kognice), vůle (např. ztráta motivace), afektu (např. oploštělý emoční projev) a chování (např. bizarní nebo bezúčelné chování, nepředvídatelné nebo nepřiměřené emoční reakce, které narušují uspořádané chování). Mohou být přítomny psychomotorické poruchy, včetně katatonie. Za jádrové příznaky jsou považovány trvalé bludy, přetrvávající halucinace, poruchy myšlení a prožitky ovlivňování, pasivity nebo kontroly. Ke stanovení diagnózy schizofrenie musí příznaky trvat alespoň jeden měsíc. Příznaky nejsou projevem jiného onemocnění (např. mozkového nádoru) a nejsou způsobeny účinky látek nebo léků působících na centrální nervový systém (např. kortikosteroidy) včetně jejich vysazení (např. alkoholový abstinenční syndrom).
http://id.who.int/icd/release/11/2026-01/mms	cs	6A20.0	Diagnóza první epizody schizofrenie by měla být použita pro jedince, u nichž jsou přítomny příznaky, které splňují diagnostická kritéria pro schizofrenii (včetně délky trvání), ale kteří nikdy předtím neměli epizodu splňující diagnostická kritéria pro schizofrenii.
