model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental health condition that affects the way a person thinks, feels, behaves, and perceives the world around them. It can cause symptoms such as hearing or seeing things that aren't there (hallucinations), believing things that aren't true (delusions), feeling like your thoughts or actions are being controlled by someone else (experiences of influence, passivity, or control), and having difficulty controlling your emotions or behavior. It can also cause problems with memory, attention, and decision-making. Psychomotor disturbances, such as catatonia, may also occur. To be diagnosed with schizophrenia, a person must have had these symptoms for at least one month and they must not be caused by another medical condition or substance use. Schizophrenia is usually a long-term condition and people with it may experience periods of remission, where their symptoms improve, but they may also have periods of relapse
"
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental illness where there are problems with the way you think, feel, and act. These problems can include false beliefs (delusions), hearing or seeing things that aren't really there (hallucinations), feeling like someone else is controlling your thoughts or actions (experiences of influence, passivity, or control), having trouble making decisions (loss of volition), feeling emotions less intensely (blunted affect), and doing things that don't make sense or seem out of place (disordered behaviour). Your thoughts and actions may also be unpredictable or seem to happen for no reason. You may have trouble paying attention, remembering things, or understanding other people's feelings or actions (social cognition). These problems usually last for at least a month and can't be explained by another medical condition or by taking drugs or medicine. If you're experiencing these symptoms for the first time, it's called schizophrenia,
"
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental disorder that affects many different parts of the mind, such as how you think, feel, and behave. It can cause problems with thinking, like having strange beliefs (delusions) or not being able to organize your thoughts (disorganization). It can also cause problems with seeing and hearing things that aren't really there (hallucinations). People with schizophrenia may feel like their feelings, thoughts, or actions are being controlled by someone or something else (experience of influence, passivity, or control). They may also have trouble remembering things, paying attention, or understanding social situations (cognitive problems). They may lose interest in things they used to enjoy (loss of motivation), have trouble controlling their emotions (affective problems), or behave in ways that are unusual or don't make sense (behavioral problems). Sometimes, people with schizophrenia may become stuck in one position for a long time
"
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental illness that affects the way you think, feel, and behave. It can cause problems with your thoughts (like having false beliefs or not being able to think straight), your senses (like hearing or seeing things that aren't really there), how you feel (like not feeling emotions the way you should), how you think (like not being able to make decisions), how you act (like doing things that don't make sense or are out of place), and how you move (like being stiff or not being able to move). Sometimes, people with schizophrenia have trouble controlling their body movements, which is called catatonia. The main symptoms of schizophrenia are false beliefs, hearing or seeing things that aren't really there, not being able to think straight, feeling like your thoughts, feelings, or actions are controlled by someone else, and not being able to make decisions. These symptoms have to last for at least
"
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental health condition that affects the way a person thinks, feels, behaves, and perceives the world. It is a long-term condition that usually starts in early adulthood. People with schizophrenia may experience a range of symptoms, such as hearing or seeing things that aren't really there (hallucinations), believing things that aren't true (delusions), feeling like they have no control over their thoughts or actions, or having trouble thinking, remembering, or making decisions. Some people with schizophrenia may also have physical symptoms, such as difficulty moving or speaking (catatonia). Symptoms must last for at least a month before a diagnosis of schizophrenia can be made, and they cannot be caused by another medical condition or by taking drugs or medication. There are different types of schizophrenia, depending on how long the symptoms have lasted and whether they have come
"
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental illness that affects the way you think, feel, act, and sense things. It can cause problems with your thoughts, like having false beliefs or trouble organizing your thoughts. It can also affect your senses, like hearing or seeing things that aren't really there. You may feel like your emotions are out of control or that you're not in control of your own actions. You might have trouble remembering things or paying attention. You may lose motivation or interest in things. People with schizophrenia may behave in strange or unusual ways, like being overly emotional or having trouble controlling their body movements. They may also have trouble understanding social situations or other people's feelings. Psychomotor disturbances, like being stuck in one position for a long time, may be present. To be diagnosed with schizophrenia, you must have symptoms that have lasted for at least a month and that are not caused by another medical condition or
"
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizophrenia is a mental illness that can cause problems with thinking, feeling, and behaving. It can cause a person to have strange thoughts or beliefs, see or hear things that aren't really there, feel like their thoughts or feelings are being controlled by someone else, have trouble paying attention, remembering things, or understanding other people's feelings, lose interest in things they used to enjoy, have trouble controlling their emotions, and do things that don't make sense or seem strange. Sometimes, a person with schizophrenia may be unable to move or speak, or they may move or speak in unusual ways. Symptoms must last for at least a month and cannot be caused by another medical condition or by drugs or alcohol. Schizophrenia is usually a long-term illness, and even when symptoms are under control, some people may still have some problems with thinking, feeling, or behaving.
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental disorder that affects many areas of the mind, such as thinking, feeling, and behaviour. It can cause problems with how you think, such as believing things that aren't true or not being able to think straight. It can also cause problems with how you feel, such as not feeling emotions the way you should. And it can cause problems with how you behave, such as doing things that don't make sense or not being able to do things you normally can. This disorder can also cause problems with how you experience the world around you, such as seeing or hearing things that aren't really there. People with schizophrenia may also feel like they don't have control over their own thoughts, feelings, or actions. Symptoms must last for at least a month before a diagnosis of schizophrenia can be made. These symptoms cannot be caused by another medical condition, like a brain tumour, or by taking
"
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental illness that affects many different parts of the mind. It can cause problems with thinking, feeling, and behaving. People with schizophrenia might have strange thoughts or beliefs (delusions), see or hear things that aren't really there (hallucinations), feel like their thoughts or actions are being controlled by someone else, or have trouble remembering things or paying attention. They might also feel less motivated, have trouble controlling their emotions, or behave in ways that seem strange or out of place. Sometimes, people with schizophrenia might become stuck in one position for a long time (catatonia). To be diagnosed with schizophrenia, a person must have had symptoms for at least a month that are not caused by another medical condition or by drugs or alcohol. Schizophrenia is usually divided into three categories: first episode, multiple episodes with remission, and persistent. First episode schizophrenia
"
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizophrenia is characterised by disturbances in multiple mental modalities, including thinking (e.g., delusions, disorganisation in the form of thought), perception (e.g., hallucinations), self-experience (e.g., the experience that one's feelings, impulses, thoughts, or behaviour are under the control of an external force), cognition (e.g., impaired attention, verbal memory, and social cognition), volition (e.g., loss of motivation), affect (e.g., blunted emotional expression), and behaviour (e.g., behaviour that appears bizarre or purposeless, unpredictable or inappropriate emotional responses that interfere with the organisation of behaviour). Psychomotor disturbances, including catatonia, may be present. Persistent delusions, persistent hallucinations, thought disorder, and experiences of influence, passivity, or control are considered core symptoms. Symptoms must have persisted for at least one month in order for a diagnosis of schizophrenia to be assigned. The symptoms are not a manifestation of another health condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g., corticosteroids), including withdrawal (e.g., alcohol withdrawal). Schizophrenia, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizophrenia were met. Schizophrenia, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizophrenia and who have also previously experienced episodes during which diagnostic requirements were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during periods of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizophrenia have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	"Schizophrenia is a mental illness that affects how you think, feel, and behave. It can cause problems in different areas of the mind, such as thinking, feeling, and self-awareness. People with schizophrenia may have strange thoughts or beliefs, hear or see things that aren't really there, feel like their thoughts or actions are controlled by others, or have trouble remembering or paying attention. They may also feel less motivated, have trouble controlling their emotions, or behave in ways that seem strange or out of place. Some people with schizophrenia may also have trouble moving or speaking. Symptoms must last for at least a month and cannot be caused by another medical condition or by drugs or alcohol. Schizophrenia can happen just once or it can come and go with periods of improvement in between. If symptoms last for most of the time you have the illness and only get better for short periods, it is called schizoph
"
