model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie qui se manifeste par des épisodes où les critères pour la schizophrénie et le dépression maniaque, mixte ou modérée ou sévère sont remplis pendant le même épisode de maladie. Les symptômes caractéristiques de la schizophrénie (par exemple, des idées délirantes, des hallucinations, une désorganisation de la pensée, des expériences d’influence, de passivité et de contrôle) se combinent avec des symptômes typiques d’un épisode dépressif modéré ou sévère (par exemple, une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’un épisode maniaque (par exemple, une humeur extrême caractéris
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Un trouble schizoaffectif est une maladie dans laquelle on retrouve les symptômes d’une schizophrénie et d’un trouble dépressif ou maniaque, qui peuvent être présents simultanément ou à quelques jours d’intervalle. Les symptômes caractéristiques de la schizophrénie (par exemple, des idées délirantes, des hallucinations, une désorganisation de la pensée, des expériences d’influence, de passivité et de contrôle) sont accompagnés de symptômes typiques d’un trouble dépressif modéré ou sévère (par exemple, une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’un trouble maniaque (par exemple, une humeur extrême caractérisée par une
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie qui se manifeste par des épisodes où les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode. Les symptômes typiques de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la pensée, expériences d’influence, de passivité et de contrôle) sont accompagnés de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie où les symptômes de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont présents pendant le même épisode de maladie. Les symptômes typiques de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la pensée, expériences d’influence, de passivité et de contrôle) se combinent avec des symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irrit
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie qui se manifeste par des épisodes où les symptômes de la schizophrénie et d’une dépression ou d’une manie sont présents en même temps, soit en même temps soit avec quelques jours d’intervalle. Les symptômes caractéristiques de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la pensée, expériences d’influence, de passivité et de contrôle) sont accompagnés de symptômes typiques d’une dépression modérée ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’une manie (p. ex. une humeur extrême caractérisée par une euphorie,
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie où vous ressentez les symptômes de la schizophrénie et de la dépression ou de la manie, ou d’une combinaison de ces deux, pendant le même épisode. Les symptômes caractéristiques de la schizophrénie (par exemple, des idées délirantes, des hallucinations, une façon de penser désorganisée, une expérience d’influence, de passivité et de contrôle) se combinent avec les symptômes typiques d’une dépression modérée ou sévère (par exemple, une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’une manie (par exemple, une humeur extrême caractérisée par une euphorie, une irrit
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie où les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes typiques de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie épisodique où les symptômes de la schizophrénie et d’une dépression ou d’une manie sont présents au même moment, soit à la même fois, soit à quelques jours d’intervalle. Les symptômes typiques de la schizophrénie (par exemple, des idées délirantes, des hallucinations, une désorganisation de la pensée, des expériences d’influence, de passivité et de contrôle) sont accompagnés de symptômes typiques d’une dépression modérée ou sévère (par exemple, une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’une manie (par exemple, une humeur extrême caractérisée par une euphorie, une
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie où on trouve les symptômes de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère, au même moment ou à quelques jours d’intervalle. Les symptômes typiques de la schizophrénie (comme des idées délirantes, des hallucinations, une désorganisation de la pensée, des expériences d’influence, de passivité et de contrôle) se combinent avec des symptômes typiques d’un épisode dépressif modéré ou sévère (comme une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’un épisode maniaque (comme une humeur extrême caractérisée par une euphorie
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Le trouble schizoaffectif est un trouble épisodique dans lequel les critères de diagnostic de la schizophrénie et d’un épisode dépressif maniaque, mixte, ou modéré ou sévère sont satisfaits au cours du même épisode de maladie, soit simultanément soit à quelques jours d’intervalle. Les symptômes dominants de la schizophrénie (p. ex. idées délirantes, hallucinations, désorganisation de la forme de la pensée, expériences d’influence, de passivité et de contrôle) s’accompagnent de symptômes typiques d’un épisode dépressif modéré ou sévère (p. ex. humeur déprimée, perte d’intérêt, baisse d’énergie), d’un épisode maniaque (p. ex. une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansivité ; d’une activité accrue ou d’une expérience subjective d’énergie accrue) ou d’un épisode mixte. Des troubles psychomoteurs, y compris une catatonie, peuvent être présents. Les symptômes doivent avoir persisté pendant au moins un mois. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris d’un sevrage (p. ex. sevrage alcoolique). Le trouble schizoaffectif, premier épisode doit être utilisé pour identifier les individus qui présentent des symptômes satisfaisant les critères de diagnostic du trouble schizoaffectif (y compris la durée) mais qui n’ont jamais présenté d’épisode auparavant durant lequel les critères de diagnostic du trouble schizoaffectif étaient satisfaits. Trouble schizoaffectif, épisodes multiples doit être utilisé pour identifier les individus qui éprouvent des symptômes qui répondent aux critères diagnostiques du trouble schizoaffectif et qui ont également connu des épisodes au cours desquels les critèress diagnostiques pour le trouble schizoaffectif ou la schizophrénie ont été respectées, avec une rémission substantielle des symptômes entre les épisodes. Certains symptômes atténués peuvent rester pendant la période de rémission, et des rémissions peuvent se produire en réponse à un médicament ou à d'autres traitements. Des symptômes satisfaisant tous les critères de définition du trouble schizoaffectif ont été présents pendant la quasi-totalité de l’évolution de la maladie sur une période d’au moins un an, avec des périodes de symptômes en-dessous du seuil très brèves par rapport à l’évolution globale.	Le trouble schizoaffectif est une maladie où les symptômes de la schizophrénie et d’un épisode dépressif ou maniaque se présentent au même moment dans le même épisode de maladie. Les symptômes typiques de la schizophrénie (comme des idées délirantes, des hallucinations, une désorganisation de la pensée, une expérience d’influence, de passivité et de contrôle) sont accompagnés de symptômes typiques d’un épisode dépressif modéré ou sévère (comme une humeur déprimée, une perte d’intérêt, une baisse d’énergie), d’un épisode maniaque (comme une humeur extrême caractérisée par une euphorie, une irritabilité ou une expansiv
