model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, a person may have symptoms of schizophrenia (like hearing or seeing things that aren't there, or having strange thoughts) and symptoms of a manic episode (like feeling very happy or very angry, or being very active) or a depressive episode (like feeling sad or having no energy) at the same time. These symptoms must last for at least a month and must not be caused by another medical problem or by taking medicine. Schizoaffective disorder, first episode is when a person is experiencing these symptoms for the first time. Schizoaffective disorder, multiple episodes is when a person has had these symptoms before and has recovered, but then has them again. Some people may still have some symptoms even when they are feeling better, and these remissions might have happened because of treatment. Symptoms of schizoaffective disorder must be present
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a kind of mental illness where you have symptoms of schizophrenia (such as hearing or seeing things that aren't there, or feeling like someone is controlling your thoughts) and symptoms of a manic, mixed or severe depressive episode at the same time. This can happen all at once or within a few days of each other. You might also have symptoms like reduced energy, loss of interest, or extreme mood changes. These symptoms must last for at least a month and they can't be caused by another medical condition (like a brain tumor) or by taking certain medicines (like corticosteroids). There are three different types of schizoaffective disorder: first episode, multiple episodes, and chronic. First episode means you're experiencing these symptoms for the first time. Multiple episodes means you've had these symptoms before and you've also had periods of time where you didn't have them (but
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of illness where you have symptoms of schizophrenia (like hearing or seeing things that aren't really there, or not being able to think straight) and symptoms of a manic episode (like feeling very happy or very angry, or being very active) or a depressive episode (like feeling very sad, or losing interest in things) at the same time. These symptoms last for at least a month and they are not because of another medical condition, like a brain tumor, or because of drugs or alcohol. This disorder can happen for the first time, or it can happen again after you've already had it before and then gone into remission (a time when your symptoms get better). If you have had this disorder for at least a year, with only brief periods of subthreshold symptoms (meaning your symptoms are not severe enough to meet the diagnostic requirements, but you still have some of them), then you meet the
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, a person might have symptoms of schizophrenia (like hearing or seeing things that aren't there, or having strange thoughts) and symptoms of depression (like feeling sad or losing interest in things) or mania (like feeling very happy or energetic) all at the same time. These symptoms must last for at least a month and can't be explained by another medical condition or by taking medicine. There are three different types of schizoaffective disorder: first episode, multiple episodes, and persistent. First episode means that a person is experiencing these symptoms for the first time. Multiple episodes means that a person has had these symptoms before and has recovered, but is having them again. Persistent means that a person has had these symptoms for a long time and has had periods of recovery, but is still having some symptoms.
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, symptoms of schizophrenia (like hearing or seeing things that aren't really there, or thinking in strange ways) and symptoms of a severe or moderate depression (like feeling sad or hopeless, or having little energy) or a manic episode (like feeling very happy or angry, or being very active) can happen at the same time. These symptoms must last for at least a month and cannot be explained by another medical condition or by taking medicine. This disorder can be divided into three types: first episode, multiple episodes, and almost all of the time. In the first episode, the person is experiencing symptoms for the first time that would qualify for a diagnosis of Schizoaffective disorder or Schizophrenia, including how long the symptoms last. In multiple episodes, the person has had at least one episode of Schizoaffective disorder or Schiz
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness where you have symptoms of schizophrenia (such as hearing or seeing things that aren't really there, or feeling like someone is controlling your thoughts or actions) and symptoms of a manic, mixed, or severe depressive episode all at the same time. This can happen either at the same time or within a few days of each other. These symptoms must have lasted for at least a month and they can't be caused by another medical condition (like a brain tumor) or by taking certain medications. There are two types of schizoaffective disorder: first episode and multiple episodes. First episode means that you're experiencing these symptoms for the very first time. Multiple episodes means that you've had these symptoms before and you've also had periods of time where the symptoms went away. Some people might still have some of these symptoms even when they're not having an active episode. These
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a condition where you have episodes of symptoms that are like schizophrenia and mania or depression at the same time. These symptoms can include things like hearing or seeing things that aren't really there (hallucinations), believing things that aren't true (delusions), feeling very happy or very sad (mood swings), not wanting to do anything or feeling like you have to do everything (motor disturbances), or feeling like you're being controlled by someone else (passivity). These symptoms have to last for at least a month and can't be caused by another medical condition, like a brain tumor, or by taking certain medications. Schizoaffective disorder can be divided into three types: first episode, multiple episodes, and full course. First episode means that you're experiencing these symptoms for the first time. Multiple episodes means that you've had these symptoms before and you've gone through
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, a person may have symptoms of schizophrenia (like hearing or seeing things that aren't there, or having strange thoughts) and symptoms of a severe depression (like feeling very sad, losing interest in things, or having little energy) or a mania (like feeling very happy, irritable, or full of energy) or a mix of these things. These symptoms must last for at least a month and can't be explained by another medical condition (like a brain tumor) or by taking certain medications (like corticosteroids). There are three different types of schizoaffective disorder: first episode, multiple episodes, and chronic. In the first episode, a person is experiencing symptoms for the first time. In multiple episodes, a person has had these symptoms before and has gone through periods of remission (when they feel better) between episodes. In
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, symptoms of schizophrenia (like hearing or seeing things that aren't really there, or having strange thoughts) and symptoms of a severe depression (like feeling very sad, losing interest in things, or having low energy) or a manic episode (like feeling very happy, irritable, or full of energy) can happen at the same time. These symptoms must last at least a month and can't be explained by another medical condition or by taking medicine. There are three different types of schizoaffective disorder: first episode, multiple episodes, and full course. The first episode is when someone is experiencing symptoms for the first time. Multiple episodes is when someone has had symptoms before and they go away for a while, but come back. Full course is when someone has had symptoms for a long time and they don't go away completely, even with treatment
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizoaffective disorder is an episodic disorder in which the diagnostic requirements of schizophrenia and a manic, mixed, or moderate or severe depressive episode are met within the same episode of illness, either simultaneously or within a few days of each other. Prominent symptoms of schizophrenia (e.g. delusions, hallucinations, disorganisation in the form of thought, experiences of influence, passivity and control) are accompanied by typical symptoms of a moderate or severe depressive episode (e.g. depressed mood, loss of interest, reduced energy), a manic episode (e.g. an extreme mood state characterised by euphoria, irritability, or expansiveness; increased activity or a subjective experience of increased energy) or a mixed episode. Psychomotor disturbances, including catatonia, may be present. Symptoms must have persisted for at least one month. The symptoms are not a manifestation of another medical condition (e.g. a brain tumor) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal (e.g. alcohol withdrawal). Schizoaffective disorder, first episode should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder (including duration) but who have never before experienced an episode during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met. Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment. Symptoms fulfilling all definitional requirements of Schizoaffective disorder have been present for almost all of the illness course over a period of at least one year, with periods of subthreshold symptoms being very brief relative to the overall course.	Schizoaffective disorder is a type of mental illness that happens in episodes. During these episodes, a person may have symptoms of schizophrenia and also symptoms of a manic episode, a depressive episode, or a mixed episode. These symptoms must last for at least one month and cannot be explained by another medical condition or by the use of drugs or medications. Schizoaffective disorder, first episode is used to describe someone who is experiencing these symptoms for the first time. Schizoaffective disorder, multiple episodes is used to describe someone who has had these episodes before and has gone through a period of remission (when the symptoms get better) between episodes. Some people may still have some symptoms during the period of remission, and these remissions may have happened because of treatment. Symptoms of schizoaffective disorder must be present for almost all of the time that a person has the illness, with only brief periods of less severe symptoms in
